Comodo Cloud Antivirus,Protect your computer against security threats by turning to this antivirus software solution that also features sandbox capabilities
Microsoft Safety Scanner,"A standalone on-demand computer scanner that performs quick, full, or custom analysis on your computer to detect potential threats"
Dr.Web LiveDisk,"Clean your computer of malicious components, copy important information to removable data media or other computers and cure infected objects with this tool"
Dr.WEB CureIt!,"Portable anti-malware tool based on the Dr.WEB engine, which can run express scans to find and neutralize threats, featuring a quarantine manager"
Emsisoft Anti-Malware,"Comprehensive computer protection that will block malware through three different layers: behavior blocker, surf protection and file guard"
Kaspersky Rescue Disk,Create a disk image to boot from and safely remove viruses from your computer in a non-dangerous environment provided by Kaspersky
McAfee Stinger,"Detect then clean a wide range of viruses and other types of malware, without slowing down the PC using this intuitive and straightforward tool"
Malware Hunter,"Detects malicious files on your computer and erases dangerous content, allowing you to run on-demand scans of important system areas or specific files"
Malwarebytes Premium,"Benefit from real-time protection against a wide range of malware threats, such as viruses, rootkits, trojans or other online dangers"
Malwarebytes,"Anti-malware application with basic protection against viruses, spyware, adware and other web threats, wrapped up in a highly intuitive interface"
EMCO Malware Destroyer,"Quickly scan for, locate and remove malware from your computer's system within a user-friendly interface with the help of this specialized tool"
EMCO Network Malware Cleaner,"Remotely scan computers in your network in order to detect viruses, worms, trojans and other threats with the help of this application"
AppCheck,"Real-time, context-aware protection against ransomware wrapped in a user-friendly interface, featuring alerts and advanced tools"
CyberByte Antivirus,"Protect your Windows computer from a wide range of cyber attacks such as malware, ransomware or mining extensions by using this app"
Amiti Antivirus,Scan and protect your computer against viruses and trojans with this application that allows users to customize their scans by excluding certain programs
Avira Total Security Suite,"Enjoy full antivirus security, privacy protection and system optimization thanks to this all-in-one suite that helps you safeguard your computer"
AdAware Total Security,An antivirus product developed by Lavasoft that allows users to keep their computer out of harm's way with multiple layers of protection
Avira Free Security Suite,"A suite of security tools that provides basic protection and optimization for your computer, thanks to the Avira Free Antivirus, Phantom VPN, and System Speedup"
Panda Dome Advanced (formerly Panda Internet Security),"A feature-packed program that offers protection against all the major threats lurking around on the Internet and includes extra goodies such as a VPN tool, parental control component, and more"
Loaris Trojan Remover,"Scan for and clean malware infections easily, with this intuitive program that also includes several other helpful security tools"
Panda Dome Complete (formerly Panda Global Protection),"Antivirus protection, firewall, file backup, web access management and performance optimization, all in a single package ready to safeguard your computer"
Panda Dome Premium (formerly Panda Gold Protection),"An advanced security suite that provides maximum protection and a premium service set for all your devices, including smart phones and tablets"
Panda Dome Essential (formerly Panda Antivirus Pro),"Install it and forget about viruses, spyware and hackers with protection model based on a user community where everyone contributes"
SecureAPlus,A multi-layered system protection utility that enables you to keep your computer safe from malware and create a whitelist to include the trusted applications
VoodooShield,"Protect your computer against viruses, threats and malicious programs by instantly blocking them with this intuitive application"
360 Total Security,"A feature-packed software solution that provides users with a powerful antivirus, a junk cleaner and a system booster within the same interface"
ClamAV,"An antivirus solution that is able to detect over 750.000 viruses, worms and trojans in order to protect your computer and email from security threats"
Avast Premier,"A reliable and efficient software utility that provides you with complete computer protection, functioning as an antivirus and antispyware tool"
Avast Internet Security,"Complete protection for your PC, including anti-spam, firewall, anti-spyware and antivirus, all working together in order to prevent malware"
Avast Free Antivirus,"Powerful anti-malware solution delivered in a user-friendly and free package, featuring multiple scanning modes and extra tools to ensure all-round PC safety"
AVG Internet Security,"Safely browse the Internet, stay protected and prevent data theft attempts and periodically scan your computer for virus threats"
AVG Antivirus Free,"Top-grade antivirus application with basic protection against all forms of malware, in addition to email, identity and web browsing safety"
Avast Pro Antivirus,"Get continuous protection against viruses and spyware, secure online purchases, protect your data and identity and block hacker attacks"
RegRun Reanimator,Removing Trojans/Adware/Spyware and rootkits as well as other types of malware with the help of this comprehensive and useful application
NANO AntiVirus Pro,Provides reliable protection of your computer from any kind of malware provided you perform regular scans of your entire PC or selected folders
Bitdefender Antivirus Free Edition,Feather-light and free antivirus solution from renowned developer that keeps the PC protected at all times from malware without requiring user configuration
UnHackMe,"Remove a variety of malware, including Trojans, potentially unwanted programs and rootkits, test Windows shortcuts and look for junk files with this app"
Malwarebytes Anti-Malware Cleanup Utility,Safely remove all traces left behind by Malwarebytes Anti-Malware from your computer after uninstallation using this lightweight program
Panda Free Antivirus (Panda Dome),"Handy and approachable antivirus solution that uses cloud assistance to prevent, detect and eliminate infected files while remaining light on resources"
K7AntiVirus Premium,"This is a security suite that provides a reliable shield against online threats and fraudulent activity, protecting you from viruses and cyber attacks"
K7UltimateSecurity,"An advanced antivirus suite offers malware scaning and removal tools, as well as the means to backup and secure important personal data"
K7 Internet Security,"Protection from viruses, worms, trojans and spyware with a fast scan engine, providing you with a reliable and easy to use security tool"
K7 TotalSecurity,"Protect your computer from various Internet security threats with the help of this comprehensive collection of anti-spam, anti-malware and anti-spyware software solutions"
Zillya! Total Security,"A full-featured security solution for your computer, with an antivirus, a personal firewall, a system optimizer, mail filtering, and a parental control module"
Zillya! Internet Security,"All-round security tool against viruses and hackers, featuring a real-time protection module, multiple scan modes, task and startup managers, and more"
ESET Smart Security Premium,"Advanced protection system for your PC that relies on a robust antivirus engine, providing secure online transactions, webcam protection, and an integrated password manager"
Rising Antivirus,"This antivirus provides extensive and continuous protection for your computers, preventing malware infections and detecting dangerous content"
Zillya! Antivirus,A powerful and reliable security software solution that enables you to protect all the computers in your network against malware
ESET Internet Security (Smart Security),"Eset's complete security solution against viruses, spyware, worms and other kinds of malware, backed by a personal firewall, anti-spam, anti-theft and parental control, among other modules"
ESET NOD32 Antivirus,Anti-malware software solution with optimal default configuration for rookies and extensive set of customization settings for experts
eScan Internet Security Suite,"Effective against virus, spyware, adware or keyloggers, this security suite comes with proactive monitoring, email protection and a personal firewall"
eScan Anti-Virus,"Protect your system of various threats, including viruses, Trojans, adware, spyware, spam, rootkits, phishing and other such online perils"
Tencent PC Manager,A user-friendly and intuitive software solution that helps you block malware threats as well as scan downloaded files and detect viruses
BullGuard Antivirus,A steady and reliable anti-virus application that provides protection from 65% more viruses and threats than other signature based products
Comodo Internet Security Pro,"Virus removal application that integrates a real-time safeguard against incoming threats, along with a powerful firewall to enhance PC security"
Auslogics Anti-Malware,"Thoroughly examine your PC and detect all malicious or suspicious threats, then remove them to ensure your computer runs smoothly"
Comodo Antivirus,"Efficient antivirus solution that detects and destroys malware and viruses, which can affect the security of your files and folders"
COMODO Internet Security,"Enjoy full-time protection against Internet threats with the help of an award-winning personal firewall and antivirus, with website and network traffic filtering"
ClamWin Free Antivirus,"Antimalware solution that has a scheduler, virus database updater, standalone scanner, context menu integration, and more features"
McAfee Cloud AV,"Provides essential protection against viruses and spyware, relying on cloud-based scanning engines to detect suspicious behavior and prevent infections"
Combofix,Effortlessly remove spyware and several types of malware from your computer with the help of this streamlined and useful piece of software
360 Total Security Essential,360 degrees of protection from the latest online threats with this particular piece of antivirus solution software that has the looks as well as the brains
ZoneAlarm Anti-Ransomware,"A security tool specifically designed to fight against ransomware attacks, preventing threats from reaching your computer and locking your files"
ZoneAlarm Free Antivirus + Firewall,"The ultimate Internet Security solution that detects and blocks viruses, spyware, Trojan horses, worms, bots as well as rootkits"
ZoneAlarm Extreme Security,"Includes everything in ZoneAlarm Security Suite and integrates the comprehensive Web security features of ZoneAlarm ForceField, adding an extra security layer to your computer"
Advanced SystemCare Ultimate Offline Database,Update the signature database of Advanced SystemCare Ultimate without being connected to the Internet with this offline update pack
Quick Heal Antivirus Pro,"A powerful antivirus solution that can protect your computer against viruses, worms and trojans, while also monitoring e-mail attachments and downloaded files"
Quick Heal Internet Security,"A reliable security suite that comprises multiple tools dedicated to protecting your computer from all kinds of threats, including viruses and spyware"
IObit Malware Fighter,Quickly remove existing ransomware infections as well as new infection attempts. Updated to work for all known variants of WannaCry
ByteFence Anti-Malware Pro,"Scan your computer for malware components and remove them in a quick, efficient manner by turning to this handy software solution"
Trojan Remover,"Perform on-demand scans and identify not only Trojans, but viruses, spyware, adware, worms and other forms of malware agents too"
Dr.Web Security Space,"Antivirus app that offers shields against the latest threats, real-time virus detection, and all sorts of protection modules against spam, phishing websites, zero-day exploits, and more"
Dr.Web Anti-virus,"Anti-malware app with a real-time safeguard, firewall, virus/spam scanner for Outlook messages, self-protection, password-protection, quarantine manager, email notifications, statistics and reports"
Kaspersky Total Security,"A feature-packed security software solution that blocks malware, protects against online banking frauds and encrypts a wide range of data"
Kaspersky Internet Security,"Safe and secure PC protection and browsing experience via antivirus protection, application control, network attack blocker, anti-spam, virtual keyboard, and more"
Kaspersky Small Office Security,"Ensures real-time protection of your computer and the entire network, creates secure vaults for sensitive files, so you can go about your business without running any unnecessary risks"
Kaspersky Anti-Virus,Accessible and user-friendly antivirus solution that allows users to protect their personal computer from various types of malware
Sophos Home,"Protect all of your home computers from cyber threats by turning to this lightweight, yet efficient application that comes with a simple interface"
Avira Internet Security Suite,"Complete antivirus protection and advanced optimization tools for all computers in a single package, ready to protect and speed up any PC"
Avira Antivirus Pro,"With complete protection from viruses, identity theft and financial loss, this practical and useful antivirus suite is a reliable solution for the security conscientious user"
Avira Free Antivirus,Extensive and efficient antivirus protection for home users which help ensure that one's computer does not get infected with malware
Bitdefender Antivirus Plus 2018,"Antivirus solution that protects you from spyware, ransomware, phishing and fraud websites, featuring vulnerability scans, autopilot, and a security hub"
Bitdefender Internet Security 2018,"Antivirus solution with firewall, antispam, anti-ransomware, password manager, parental control, vulnerability scanner, autopilot, intrusion detection, and more"
Bitdefender Total Security 2018,"Anti-malware solution with anti-theft, anti-phishing, firewall, autopilot, rescue mode, intrusion detection, ransomware protection, parental control, browser sandbox, password manager, and more"
G DATA Total Security,"A complex security suite that comes with all the necessary tools for a total protection against spam, phishing, viruses and malware"
G DATA Internet Security,"This is a complete set of security utilities that make your PC safer, protecting it from malware, cyber attacks and online threats"
G DATA AntiVirus,"Keep your PC safe from malware and scan your PC in real time with this reliable antivirus solution, which relies on an award-winning virus detection engine"
Clearsight Antivirus,"Anti-malware tool with a real-time guard, quarantine manager, multiple scan modes, virus definition updates, and approachable configuration settings"
Ransomware Defender,"Monitors your PC to block ransomware agents, featuring three scan modes for on-demand scans, quarantine manager, advanced scan settings, scheduled tasks, and more"
Norton Security,"Actively protects you from viruses, spam, identity theft and social media dangers and tracks virtually every file on the Internet"
McAfee Endpoint Security,"Advanced threat defense system suitable for the fast growing business environment, providing detection tools, an integrated firewall, and web control capabilities"
PC Matic,"Monitor your computer, detect faulty components or software vulnerabilities and run benchmark tests by using this reliable application"
T3 Commandline Scanner,"Check your computer for malware and eliminate it on sight using this virus removal tool wrapped in a command-line interface, which requires the IKARUS virus definitions"
VIPRE Rescue Scanner,Run a thorough scan of your computer and let this command-line application try to remove all the viruses and clean your PC within minutes
Trend Micro OfficeScan,"A powerful managed antivirus service supporting antivirus, anti-spyware and firewall protection for endpoint and mobile security"
VIRUSfighter Server,"Antivirus application for Windows servers, which features multiple scanning methods with configurable settings, a quarantine manager, and reports"
Norton Bootable Recovery Tool,A comprehensive and reliable application that enables you to create a boot disc or ISO file to help you clean your system within minutes
VIRUSfighter,"An antivirus software that provides protection against various threats, cleans up malicious components and runs discreetly in the background"
Smadav,"A simple security software solution that provides real-time antivirus protection, making sure that your computer is safeguarded at all times"
Webroot SecureAnywhere Antivirus,"A powerful and easy to use antivirus solution created to help you prevent virus intrusions, as well as protect your online identity"
Desktop Armor,"A utility designed to keep an eye on your computer for any changes that applications might make to it, and to protect it from online threats"
ESET Online Scanner,Perform a one-time scan on your computer with this lightweight tool that helps you identify a broad range of potentially hazardous components
eScanAV AntiVirus Toolkit,"Analyzes important areas of your computer, such as the registry, system folders, startup items, running services and the memory to detect potential dangerous content"
OPSWAT Metadefender Client,"Detects potential security threats using multiple antivirus engines and helps you deal with known vulnerabilities, wrapped in a user-friendly interface"
RemoveIT Pro 2017 Security Ultra,"Using this straightforward application you can scan your computer for spyware and viruses, as well as manage the startup programs"
Quick Heal Total Security,"Complete PC security against malware, featuring email, Internet and network protection, parental control, removable drive scans, system optimization and maintenance, and more"
EG Anti Virus,"Antivirus application with password protection, multiple scan modes, quarantine, data security tools, encrypted notes, and file cleaner"
BullGuard Premium Protection,"A complete security suite that integrates an antivirus, a personal firewall, as well as anti-spam, PC tune up and social media protection modules"
BullGuard Internet Security,"A reliable antivirus solution that blocks hacker attacks, removes any active malware and adapts to your system specifications to safeguard all your data"
Reason Core Security,"Protect your computer against malware, remove unnecessary applications and prevent unwanted programs from being installed, with this intuitive tool"
HitmanPro,"Fast and effective cloud-assisted virus remover that can be installed or run from a portable device, featuring scheduled scans and other handy settings"
RansomBuster,Put a strong barrier between your computer and ransonware attackers by resorting to this lightweight application that can protect your data
Dr Prot Antivirus,A simple and easy to understand application designed to assist you in protecting your computer against a wide range of outside threats
Bugssafe Total Security,"Protect your computer against malware and spyware with the help of this comprehensive program that also incorporates a PC optimizer, file eraser, startup manager, and a parental control module"
TrustPort Total Protection Sphere,"Get maximum protection for your computer against malware, trojans and online threats and secure all your important and personal data"
Trustport Antivirus for Servers Sphere,"Prevents infections from all spyware, viruses or other types of malware on a network server and features an application inspector for untrusted tools and more"
TrustPort Internet Security Sphere,"Get total protection of computer and data from malware and online threats by using this reliable, useful and effective application"
Trustport Antivirus Sphere,"An ideal tool offering basic protection against all types of spyware and viruses, providing you with real-time protection and a scan scheduler"
McAfee AntiVirus Plus,"Essential, award-winning PC protection for carefree computing, dedicated to virus and spyware cleaning, which includes a firewall and real-time scanner"
Sophos Virus Removal Tool,"Virus detection and removal tool that promises to completely remove rootkits and other malware from your computer, scanning the entire system"
McAfee Internet Security,"Comprehensive antimalware tool with real-time protection, multiple scan modes, quarantine manager, advanced settings, and more features"
Trend Micro Maximum Security,"Safeguards against email phishing scams, blocks viruses and dangerous links optimizes computer performance and restricts or filters kids' access to websites"
Trend Micro Antivirus+,"An antivirus solution that can protect computers from various threats, especially designed to meet demands in both work and business environments"
Trend Micro Internet Security,"Helps kids control how much private and personal data is exposed online, optimizes computer performance and blocks viruses and dangerous links"
ESET SysRescue,"Running independently from Windows, it enables you to run a thorough scan of the file system in order to efficiently detect and remove malware components"
Noralabs Norascan,"A compact application that scans and detects malware, spyware, and other threats that may compromise system security quickly and with minimum effort"
McAfee LiveSafe,"A McAfee-signed security center that provides real-time protection against viruses and spyware, alongside email and web filtering"
Zillya! Antivirus for Business,"Ensures ongoing protection for computers in a network, allowing you to monitor the security status of all workstations from a single place"
COMODO Cloud Scanner,"Scan your system for malware and suspicious files with this lightweight, comprehensive application that can be operated by various users"
Kaspersky Free,"Free antivirus from Kaspersky, which offers the same level of protection as the premium edition and doesn't contain ads or commercials"
Ninja Pendisk,Protect your USB devices against viruses and other malicious threats that attempt to infect flash drive using this straightforward tool
USB-AV Antivirus,"Seamlessly scan your USB drives for viruses and similar threats and hence, make sure malware does not enter your computer using this tool"
Kaspersky Anti-Ransomware Tool for Business,Keep your computer protected from WannaCry and other ransomware using the real-time engine of this straightforward tool provided by Kaspersky
CS Anti-Virus,Employ this lightweight and powerful antivirus solution system in your daily routine in order to stay protected from a multitude of threats
Exterminate It!,"An antivirus solution that can perform full scans, memory scans, and custom scans of certain folders to detect potentially dangerous content"
NoVirusThanks Threat Killer,"A powerful and configurable anti-malware tool that relies on custom, user-created scripts to disable and remove a wide variety of security threats"
Max Secure Internet Security,"A powerful and intuitive application that helps you keep your system secure from various malware threats, viruses or dangerous websites"
Xvirus Anti-Malware,"Protects your computer from spyware, adware, Trojans and other forms of malware, featuring safeguards for your files, system and network"
Anjav Antivirus,Protect your system against various cybernetic threats by relying on this antivirus application that provides you with several other useful tools
Smartsoft Anti-Malware Free,Protect your computer from malware or similar threats and make sure that nothing harmful makes its way into your system with this tool
Sunrise Antivirus,Protect your documents' integrity and enhance your computer's security by relying on this handy application that comes with multiple useful features
AVG Ultimate,"Powerful protection solution that monitors the security status of multiple computers and mobile devices, ensuring that none of them get infected"
GridinSoft Anti-Ransomware,"Prevent cryptolockers and various other types of ramsomware from encrypting your files, with the help of this lightweight security program"
STOPzilla AntiVirus,"Antivirus that supports quick, full or scheduled scans, real-time protection, anti-phishing and anti-spam modules, gaming mode, and automatic updates of virus definitions"
Kaspersky Endpoint Security for Business,"Malware protection for multiple computers within a business environment, enabling administrators to control everything from a centralized panel"
Protegent Total Security,A practical and straightforward software solution worth having when you surf online and need to get maximum protection from your antivirus application
Protegent Antivirus,"Safely guard your PC against all sorts of most advanced computer threats including viruses, trojans, spywares, worms and other malicious infections"
CrowdInspect,Detect malware that communicates over the network on your computer without significant efforts by turning to this handy application
Avira Exchange Security,"Solid antivirus security and anti-spam for Microsoft Exchange Server, providing a powerful protection engine and supporting multiple servers"
Watchdog Online Security Pro,"Antivirus engine with deep scan mode, real-time safeguard, keylogger and ID theft protection, all wrapped in an intuitive interface"
TrothAV Antivirus,Benefit from full protection against all sorts of threats with the help of this handy antivirus solution that should ensure optimal performance for your PC
COMODO Cleaning Essentials,Identify and remove malware and unsafe processes from your infected computers with just a few clicks using this freeware application
Symantec Endpoint Protection,"Powerful, reliable and accessible endpoint antivirus software solution that you can use on both virtual and physical computer systems"
ArcaVir Internet Security,Keep your computer protected and take advantage of a series of useful system utilities by relying on this comprehensive antivirus solution
Preventon Antivirus Premium,"An intuitive and reliable application that can not only remove malware, but also detect and block it before infecting one's computer"
CompuClever Antivirus Plus,Ensure high levels of protection for your computer using this powerful antivirus that also prevents you from experiencing performance hiccups
Kaspersky Internet Security - Multiï¿½CDevice,"An efficient package for protecting not only your Windows and Macintosh computer against malware infections, but also your Android devices"
Norton Security with Backup,"Keep your mailbox free of unwanted, dangerous and fraudulent emails, scan your computer and remove potentially dangerous files, increase productivity and performance, back up everything to a safe place"
Panda Cloud Cleaner,An advanced malware removal tool based on Collective Intelligence (scanning in-the-cloud) that detects and removes threats from your computer
Trend Micro RootkitBuster,"Quickly scan and remove rookits from files, Master Boot Sectors, services and kernel code patches, and examine log details using this portable app"
Microsoft Security Essentials,"The official, free antivirus solution from Microsoft for Windows 7 and Vista computers, which provides basic protection against malware"
OSHI Defender,"Uses cloud-based scanning to check your Windows startup, browser addons, DNS servers, and Hosts file for any suspicious activity and fix issues"
AVG Antivirus,"Award winning antivirus that detects and stops viruses, threats and malware, also including new privacy features to keep your data private"
Zillya! Scanner,"Remove viruses, Trojans, worms and spyware from infected computers using this portable application that features three scanning modes"
Real Protect,"A security tool that focuses on behavioral detection, monitoring your computer for any activity that might seem suspicious and end up in a malware infection"
Padvish EPS,"Ensure that your computer stays as far away from virusez, malware, adware and other types of threatening elements with the help of this antivirus solution"
Hero Cloud Antivirus,"Scan your computer for malware and detect unwanted components that need to be removed, with the help of this lightweight program"
Malwarebytes Breach Remediation,"Anti-malware solution created for the business environment that scans local and remote workstations, allowing the quick removal of infected files"
USB Defender,Protect your PC from potentially malicious content which can run from a USB drive by having the Autorun.ini file blocked thanks to this application
AKick Total Security,"Keep malware at bay, block network attacks and dangerous content, clear unwanted files and more, with this versatile application"
AKick Antivirus,"Scan your computer for harmful malware and secure it against new threats using a real-time protection engine, with this straightforward antivirus program"
Avira Server Security,"A security software solution for Windows servers, ensuring prompt malware detection and virus removal, with low impact on system resources"
